,question,content,category,question_changed,content_changed,category_changed,catalog
188,просроченная заявка,"по вопросам, связанным с расчётом sla, необходимо обращатиться к руководителю, для создания заявки по процессу 4132-апелляции для расчета sla.",заявки,просроченная заявка,"по вопросам, связанным с расчётом сроки, необходимо обращатиться к руководителю, для создания заявки по процессу 4132-апелляции для расчета сроки.",заявки,аккаунт
189,нарушен крайний срок звявки,"по вопросам, связанным с расчётом sla, необходимо обращатиться к руководителю, для создания заявки по процессу 4132-апелляции для расчета sla.",заявки,нарушен крайний срок звявки,"по вопросам, связанным с расчётом сроки, необходимо обращатиться к руководителю, для создания заявки по процессу 4132-апелляции для расчета сроки.",заявки,аккаунт
190,исключить заявку из sla,"по вопросам, связанным с расчётом sla, необходимо обращатиться к руководителю, для создания заявки по процессу 4132-апелляции для расчета sla.",заявки,исключить заявку из сроки,"по вопросам, связанным с расчётом сроки, необходимо обращатиться к руководителю, для создания заявки по процессу 4132-апелляции для расчета сроки.",заявки,аккаунт
191,пришла и тут же просрочилась заявка,"по вопросам, связанным с расчётом sla, необходимо обращатиться к руководителю, для создания заявки по процессу 4132-апелляции для расчета sla.",заявки,пришла и тут же просрочилась заявка,"по вопросам, связанным с расчётом сроки, необходимо обращатиться к руководителю, для создания заявки по процессу 4132-апелляции для расчета сроки.",заявки,аккаунт
192,я как hr bp перестала видеть магазины и сотрудников кластера. не могу делать заявки. прошу исправить ошибку - видимо произошла отвязка от кластера.,"на портале директора кластеров должны самостоятельно следить за привязкой магазинов, входящих в их зону ответственности, в рамках кластера. дк необходимо зайти на портал https://company-x5.ru и привязать к себе магазины своего кластера.",заявки,я как hr bp перестала видеть магазины и сотрудников кластера. не могу делать заявки. прошу исправить ошибку - видимо произошла отвязка от кластера.,"на портале директора кластеров должны самостоятельно следить за привязкой магазинов, входящих в их зону ответственности, в рамках кластера. директор кластеров необходимо зайти на портал https://company-x5.ru и привязать к себе магазины своего кластера.",заявки,аккаунт
193,некорректная привязка дк,"на портале директора кластеров должны самостоятельно следить за привязкой магазинов, входящих в их зону ответственности, в рамках кластера. дк необходимо зайти на портал https://company-x5.ru и привязать к себе магазины своего кластера.",заявки,некорректная привязка директор кластеров,"на портале директора кластеров должны самостоятельно следить за привязкой магазинов, входящих в их зону ответственности, в рамках кластера. директор кластеров необходимо зайти на портал https://company-x5.ru и привязать к себе магазины своего кластера.",заявки,аккаунт
194,требуется оформить командировку,в рамках нового сервисного подхода сотрудники оформляют командировку на едином портале trip.,командировка,требуется оформить командировку,в рамках нового сервисного подхода сотрудники оформляют командировку на едином портале trip.,командировка,работа
195,направляют в командировку,в рамках нового сервисного подхода сотрудники оформляют командировку на едином портале trip.,командировка,направляют в командировку,в рамках нового сервисного подхода сотрудники оформляют командировку на едином портале trip.,командировка,работа
196,как оформить командировку?,в рамках нового сервисного подхода сотрудники оформляют командировку на едином портале trip.,командировка,как оформить командировку?,в рамках нового сервисного подхода сотрудники оформляют командировку на едином портале trip.,командировка,работа
197,"мне нужно оформить командировку, как это сделать?",в рамках нового сервисного подхода сотрудники оформляют командировку на едином портале trip.,командировка,"мне нужно оформить командировку, как это сделать?",в рамках нового сервисного подхода сотрудники оформляют командировку на едином портале trip.,командировка,работа
198,хочу оформить командировку,в рамках нового сервисного подхода сотрудники оформляют командировку на едином портале trip.,командировка,хочу оформить командировку,в рамках нового сервисного подхода сотрудники оформляют командировку на едином портале trip.,командировка,работа
199,белый экран,"просьба очистить кеш/куки с использованием клавиш ctrl + shift + delete. при появлении окошка с настройками в разделе ""за период"" выбрать ""за все время"". далее выйти с личного кабинета с использованием клавиши ""выход"" и авторизоваться повторно введя логин и пароль.",лк,белый экран,"просьба очистить кеш/куки с использованием клавиш ctrl + shift + delete. при появлении окошка с настройками в разделе ""за период"" выбрать ""за все время"". далее выйти с личного кабинета с использованием клавиши ""выход"" и авторизоваться повторно введя логин и пароль.",личный кабинет,аккаунт
201,в личном кабинете не отображается кол-во отпускных дней,"количество накопленных дней для отпуска отображается при создании заявки ""отпуск по заявлению""",лк,в личном кабинете не отображается кол-во отпускных дней,"количество накопленных дней для отпуска отображается при создании заявки ""отпуск по заявлению""",личный кабинет,аккаунт
202,не отображаются накопленные отпусные дни,"количество накопленных дней для отпуска отображается при создании заявки ""отпуск по заявлению""",лк,не отображаются накопленные отпусные дни,"количество накопленных дней для отпуска отображается при создании заявки ""отпуск по заявлению""",личный кабинет,аккаунт
203,лимиты отпуска,"количество накопленных дней для отпуска отображается при создании заявки ""отпуск по заявлению""",лк,лимиты отпуска,"количество накопленных дней для отпуска отображается при создании заявки ""отпуск по заявлению""",личный кабинет,аккаунт
204,вернулась старая задача,"если сотрудник архива не выполнил задача ""подтвердить получение документов"", заявка возвращается на шаг фронт-офиса, при этом создается новая задача. такая логика процесса утверждена и согласована с представителями от бизнеса",лк,вернулась старая задача,"если сотрудник архива не выполнил задача ""подтвердить получение документов"", заявка возвращается на шаг фронт-офиса, при этом создается новая задача. такая логика процесса утверждена и согласована с представителями от бизнеса",личный кабинет,аккаунт
205,архивная задача вернулась,"если сотрудник архива не выполнил задача ""подтвердить получение документов"", заявка возвращается на шаг фронт-офиса, при этом создается новая задача. такая логика процесса утверждена и согласована с представителями от бизнеса",лк,архивная задача вернулась,"если сотрудник архива не выполнил задача ""подтвердить получение документов"", заявка возвращается на шаг фронт-офиса, при этом создается новая задача. такая логика процесса утверждена и согласована с представителями от бизнеса",личный кабинет,аккаунт
206,в лк упали старые просроченные задачи уже ранее отработанные,"если сотрудник архива не выполнил задача ""подтвердить получение документов"", заявка возвращается на шаг фронт-офиса, при этом создается новая задача. такая логика процесса утверждена и согласована с представителями от бизнеса",лк,в личный кабинет упали старые просроченные задачи уже ранее отработанные,"если сотрудник архива не выполнил задача ""подтвердить получение документов"", заявка возвращается на шаг фронт-офиса, при этом создается новая задача. такая логика процесса утверждена и согласована с представителями от бизнеса",личный кабинет,аккаунт
207,не можем поменять реквизиты банка в лк,в лк вы можете указать реквизиты карт только банков-партнеров: сбер и альфа,лк,не можем поменять реквизиты банка в личный кабинет,в личный кабинет вы можете указать реквизиты карт только банков-партнеров: сбер и альфа,личный кабинет,аккаунт
208,в личном кабинете пропала вкладка передать в архив,"первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в лк. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",лк,в личном кабинете пропала вкладка передать в архив,"первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в личный кабинет. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",личный кабинет,аккаунт
209,нет отображаются заявки в личном кабинете на передачу в архив,"первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в лк. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",лк,нет отображаются заявки в личном кабинете на передачу в архив,"первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в личный кабинет. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",личный кабинет,аккаунт
210,не вижу заявок на портале,"первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в лк. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",лк,не вижу заявок на портале,"первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в личный кабинет. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",личный кабинет,аккаунт
211,"проблема с личным кабинетом,я не вижу заявки поступающие в личный кабинет","первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в лк. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",лк,"проблема с личным кабинетом,я не вижу заявки поступающие в личный кабинет","первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в личный кабинет. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",личный кабинет,аккаунт
212,в заявках отсутствует вкладка передача в хранилище,"первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в лк. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",лк,в заявках отсутствует вкладка передача в хранилище,"первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в личный кабинет. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",личный кабинет,аккаунт
213,отсутствует передать документы в архив,"первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в лк. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",лк,отсутствует передать документы в архив,"первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в личный кабинет. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",личный кабинет,аккаунт
214,"нет возможности отработать задачи , передать в архив, исчезла вкладка","первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в лк. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",лк,"нет возможности отработать задачи , передать в архив, исчезла вкладка","первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в личный кабинет. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",личный кабинет,аккаунт
215,как создать заявку,"первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в лк. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",лк,как создать заявку,"первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в личный кабинет. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",личный кабинет,аккаунт
216,нет вкладки передать в архив документы,"первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в лк. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",лк,нет вкладки передать в архив документы,"первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в личный кабинет. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",личный кабинет,аккаунт
217,"у всех директоров кластера со вчерашнего дня сохраняется проблема в личном кабинете, пропали вкладки ""передать в архив и пропали задачи из лк. что делать?","первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в лк. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",лк,"у всех директоров кластера со вчерашнего дня сохраняется проблема в личном кабинете, пропали вкладки ""передать в архив и пропали задачи из личный кабинет. что делать?","первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в личный кабинет. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",личный кабинет,аккаунт
218,нет вкладки передать в архив,"первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в лк. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",лк,нет вкладки передать в архив,"первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в личный кабинет. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",личный кабинет,аккаунт
219,не распечатываются документы на передачу в архив ссылки на файлы не активны,"первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в лк. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",лк,не распечатываются документы на передачу в архив ссылки на файлы не активны,"первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в личный кабинет. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",личный кабинет,аккаунт
220,не отображаются задачи в лк,"первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в лк. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",лк,не отображаются задачи в личный кабинет,"первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в личный кабинет. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",личный кабинет,аккаунт
221,не могу закрыть заявку,"первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в лк. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",лк,не могу закрыть заявку,"первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в личный кабинет. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",личный кабинет,аккаунт
222,"не активна кнопка выполнить в задачах ,не уходят задачи из архива.","первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в лк. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",лк,"не активна кнопка выполнить в задачах ,не уходят задачи из архива.","первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в личный кабинет. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",личный кабинет,аккаунт
223,нет заявок,"первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в лк. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",лк,нет заявок,"первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в личный кабинет. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",личный кабинет,аккаунт
224,"из раздела ""передать в архив"" пропали все документы для передачи мп","первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в лк. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",лк,"из раздела ""передать в архив"" пропали все документы для передачи мобильное приложение","первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в личный кабинет. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",личный кабинет,аккаунт
225,не работает раздел задачи,"первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в лк. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",лк,не работает раздел задачи,"первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в личный кабинет. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",личный кабинет,аккаунт
226,не работают раздел задачи,"первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в лк. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",лк,не работают раздел задачи,"первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в личный кабинет. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",личный кабинет,аккаунт
227,при отмене заявки в личном кабите номер заявки пишет не удалось отправить данные,"первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в лк. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",лк,при отмене заявки в личном кабите номер заявки пишет не удалось отправить данные,"первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в личный кабинет. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",личный кабинет,аккаунт
228,отсутствуют заявки,"первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в лк. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",лк,отсутствуют заявки,"первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в личный кабинет. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",личный кабинет,аккаунт
229,не открывается раздел задач в лк,"первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в лк. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",лк,не открывается раздел задач в личный кабинет,"первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в личный кабинет. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",личный кабинет,аккаунт
230,пропала задача из передать в архив ( подписание трудоустройства на прием),"первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в лк. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",лк,пропала задача из передать в архив ( подписание трудоустройства на прием),"первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в личный кабинет. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",личный кабинет,аккаунт
231,задачи на моей стороне но я их не вижу,"первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в лк. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",лк,задачи на моей стороне но я их не вижу,"первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в личный кабинет. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",личный кабинет,аккаунт
232,"дд! не возможно закрыть заявку, выдает ошибку.","первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в лк. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",лк,"дд! не возможно закрыть заявку, выдает ошибку.","первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в личный кабинет. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",личный кабинет,аккаунт
233,"в задачах пропала вкладка передать в архив, там висят две задачи,ь не могу найти отработать документы","первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в лк. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",лк,"в задачах пропала вкладка передать в архив, там висят две задачи,ь не могу найти отработать документы","первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в личный кабинет. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",личный кабинет,аккаунт
234,не показывают задачи в личном кабинете,"первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в лк. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",лк,не показывают задачи в личном кабинете,"первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""удалить: всё"", нажать ок). далее перезайти в личный кабинет. если это не помогло просьба подать заявку, нажав ниже кнопку ""создать заявку"" и выбрать соответствующую тему.",личный кабинет,аккаунт
